REF,Company Name,CompanyLocation_Country,Review Date,Bean Origin,ChocolateName,Cocoa_Percent,No_of_ingredients,Rating
2126,Friis Holm,Denmark,2018,Nicaragua,"La Dalia, Lazy Growers Blend",60,4,3.75
1800,Summerbird,Denmark,2016,Peru,Peru,61,4,3.75
2362,Mellow,Denmark,2019,Ecuador,"Camino Verde, Duran Region",85,4,3.75
1680,Friis Holm (Bonnat),Denmark,2015,Nicaragua,La Dalia,85,4,3.75
224,Pacari,Ecuador,2008,Ecuador,Esmeraldas,60,4,3.75
713,La Pepa de Oro,Ecuador,2011,Ecuador,Vinces,60,4,3.75
237,Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,Amazonas,63,4,3.75
1654,Montecristi,Ecuador,2015,Ecuador,Manabi,63,4,3.75
245,Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,Bolivar,82,4,3.75
248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 48hr/ W.F. blend prototype,85,4,3.75
248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego/ original micro,85,4,3.75
269,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Cacao Nacional W.F.,85,4,3.75
817,Pacari,Ecuador,2012,Ecuador,"Ecuador, raw",85,4,3.75
1658,Montecristi,Ecuador,2015,Ecuador,Manabi,85,4,3.75
248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 60hr/ W.F. blend prototype,85,4,3.75
445,La Maison du Chocolat (Valrhona),France,2009,Blend,Orinoco,60,4,3.75
1145,La Maison du Chocolat (Valrhona),France,2013,Tobago,Tobago,60,4,3.75
1972,Valrhona,France,2017,Blend,"Oriado, Peru, Dom. Rep",60,4,3.75
439,La Maison du Chocolat (Valrhona),France,2009,Blend,Kuruba,60,4,3.75
797,A. Morin,France,2012,Peru,Peru,63,4,3.75
1510,Valrhona,France,2015,Peru,"Piura, Illanka, Quemazon",63,5,3.75
709,Un Dimanche A Paris,France,2011,Dominican Republic,Dominican Republic,63,3,3.75
1876,A. Morin,France,2016,Sao Tome,Agua Grande,63,4,3.75
1019,A. Morin,France,2013,Peru,Chanchamayo Province,63,3,3.75
2206,A. Morin,France,2018,Peru,Absolu,63,4,3.75
327,Valrhona,France,2009,Dominican Republic,Tainori,64,5,3.75
1153,Valrhona,France,2013,Dominican Republic,"Loma Sotavento, 2013",64,5,3.75
129,Valrhona,France,2007,Madagascar,Manjari,64,5,3.75
162,Valrhona,France,2007,Venezuela,"Porcelana, Maracaibo, Palmira P. 2006",64,5,3.75
757,Valrhona,France,2011,Venezuela,"Porcelana, Pedegral",64,5,3.75
423,Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,Papua New Guinea,64,4,3.75
841,Durand,France,2012,Madagascar,Madagascar,82,4,3.75
153,Valrhona,France,2007,Blend,"Abinao, West Africa",85,5,3.75
147,Valrhona,France,2007,Blend,Le Noir Extra Amer,85,5,3.75
445,Coppeneur,Germany,2009,Peru,"Porcelana, Apotequil",62,3,3.75
837,Kakao,Germany,2012,Peru,Peru,64,3,3.75
1876,Heilemann,Germany,2016,Peru,Peru,64,3,3.75
1407,Choco Del Sol,Germany,2014,Belize,Maya Mountain,82,2,3.75
1768,Belyzium,Germany,2016,Belize,Belize south,83,3,3.75
1768,Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83,3,3.75
813,Coppeneur,Germany,2012,Ghana,Ghana Puristique,85,3,3.75
729,Silvio Bessone,Italy,2011,Brazil,Bahia,60,4,3.75
135,Domori,Italy,2007,Venezuela,Granella,60,4,3.75
170,Amedei,Italy,2007,Blend,Toscano Black,63,4,3.75
355,Guido Castagna,Italy,2009,Ghana,"Ghana, prototype",64,4,3.75
355,Guido Castagna,Italy,2009,Blend,"Trinidad & Tobago, prototype",64,4,3.75
355,Guido Castagna,Italy,2009,Blend,"Ven, Trinidad, Ecuador, prototype",64,4,3.75
607,S.A.I.D.,Italy,2010,Madagascar,Malgascio,64,4,3.75
355,Guido Castagna,Italy,2009,Ecuador,Arriba,64,4,3.75
1450,Tablette (aka Vanillabeans),Japan,2015,Vietnam,Vietnam,60,5,3.75
1450,Tablette (aka Vanillabeans),Japan,2015,Papua New Guinea,Papua,62,5,3.75
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,63,5,3.75
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar,64,4,3.75
439,Chocovic,Spain,2009,Blend,Kendari,60,4,3.75
1046,Blanxart,Spain,2013,Congo,"Congo, Grand Cru",82,4,3.75
464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,4,3.75
464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,2,3.75
636,Beschle (Felchlin),Switzerland,2011,Madagascar,Madagascar,64,3,3.75
508,Beschle (Felchlin),Switzerland,2010,Indonesia,"Java, Grand Cru",64,3,3.75
157,Lindt & Sprungli,Switzerland,2007,Blend,Excellence (US Version),85,4,3.75
1271,Paul Young,U.K.,2014,Madagascar,"Madagascar, w/ shell",64,2,3.75
1065,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara, 2012",82,2,3.75
1227,Pump Street Bakery,U.K.,2014,Ecuador,Guantupi River,85,3,3.75
1688,Doble & Bignall,U.K.,2015,Venezuela,Puerto Cabello,85,3,3.75
2294,Bankston,U.S.A.,2019,Uganda,Uganda,82,3,3.75
607,Potomac,U.S.A.,2010,Costa Rica,"Upala, Batch 12",82,2,3.75
1454,Peppalo,U.S.A.,2015,Dominican Republic,Dominican Republic,82,3,3.75
829,Pomm (aka Dead Dog),U.S.A.,2012,Peru,"Peru, batch 1",82,3,3.75
1430,Maverick,U.S.A.,2014,Peru,Tumbes,82,2,3.75
1740,Blue Bandana,U.S.A.,2016,Madagascar,Akesson Estate,82,2,3.75
2668,Chequessett,U.S.A.,2021,Colombia,Tumaco Narino,83,3,3.75
813,Sacred,U.S.A.,2012,Blend,"Midnight, Central and S. America",83,4,3.75
184,Theo,U.S.A.,2007,Ghana,"Ghana, Kumasi",84,4,3.75
1291,Stone Grindz,U.S.A.,2014,Ecuador,"Ecuador, Midnight Dark, batch 600414",84,3,3.75
1121,SRSLY,U.S.A.,2013,Dominican Republic,Dominican Republic,84,3,3.75
2366,Fruition,U.S.A.,2019,Colombia,"Tumaco, batch 2",85,2,3.75
785,Raaka,U.S.A.,2011,Dominican Republic,La Red,85,3,3.75
1367,Garden Island,U.S.A.,2014,U.S.A.,"Kaua'i Island, Alea Estate +world",85,3,3.75
1129,Brasstown aka It's Chocolate,U.S.A.,2013,Venezuela,"Chuao, Mantuano blend, batch 23613",85,5,3.75
1287,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,85,3,3.75
1466,Ritual,U.S.A.,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, b. 001",85,2,3.75
1736,Creo,U.S.A.,2016,Ecuador,Classic Dark,85,3,3.75
1808,Harper Macaw,U.S.A.,2016,Brazil,"Vale do Juliana, w/ nibs",85,3,3.75
1007,Nanea,U.S.A.,2013,U.S.A.,Criollo Blend,85,1,3.75
1486,Bisou,U.S.A.,2015,Belize,Belize,86,4,3.75
785,Taza,U.S.A.,2011,Bolivia,Alto Beni,87,3,3.75
915,Franceschi,Venezuela,2012,Venezuela,Sur del Lago,60,3,3.75
2044,Franceschi,Venezuela,2018,Venezuela,Rio Caribe,60,4,3.75
1796,Suruca Chocolate,Venezuela,2016,Venezuela,Venezuela,60,3,3.75
206,El Rey,Venezuela,2008,Venezuela,Carenero Superior,61,5,3.75
439,El Rey,Venezuela,2009,Venezuela,"Rio Caribe, Cariaco",61,5,3.75
2122,Franceschi,Venezuela,2018,Venezuela,"Chuao, batch 4, Lot DH17",85,2,3.75
1650,Marou,Vietnam,2015,Vietnam,"Tan Phu Dong Island, Heart of Darkness",85,2,3.75
1530,Chocolate Makers,Amsterdam,2015,Peru,"Peru, Awagum bar",80,3,4
292,Compania de Chocolate (Salgado),Argentina,2008,Venezuela,Carenero Superior,80,1,4
1618,"Smooth Chocolator, The",Australia,2015,Madagascar,Akesson Estate,65,3,4
1780,Zokoko,Australia,2016,Blend,Goddess Blend,65,5,4
975,Cravve,Australia,2012,Brazil,Bahia,65,3,4
1662,"Smooth Chocolator, The",Australia,2015,Papua New Guinea,"Papua New Guinea, triple roast, batch 1",65,3,4
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80,2,4
749,Zotter,Austria,2011,India,Kerala State,65,4,4
801,Zotter,Austria,2012,Blend,Amazonas,65,4,4
749,Zotter,Austria,2011,Congo,Congo,65,4,4
486,Zotter,Austria,2010,Brazil,"Brazil, Mitzi Blue",65,4,4
1205,Zotter,Austria,2014,Blend,Raw,80,4,4
1351,Frederic Blondeel,Belgium,2014,Madagascar,Madagascar,65,4,4
1976,Luisa Abram,Brazil,2017,Brazil,"Rio Purus, 2016 Harvest",81,2,4
1201,Habitual,Canada,2014,Blend,Downtown London,65,3,4
682,Chocosol,Canada,2011,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn",65,5,4
377,Choklat,Canada,2009,Venezuela,Ocumare,80,4,4
377,Choklat,Canada,2009,Brazil,Brazilian,80,4,4
1307,Soma,Canada,2014,Ecuador,"Camino Verde P., Balao, Guayas",80,3,4
1201,Habitual,Canada,2014,Blend,Amazonas,80,3,4
1197,Habitual,Canada,2014,Papua New Guinea,Papua New Guinea,80,3,4
1940,Soul,Canada,2017,Tanzania,Tanzania,80,2,4
552,Luker,Colombia,2010,Colombia,Santander,65,5,4
1888,Carlotta Chocolat,Colombia,2016,Colombia,Cordoba,65,3,4
1888,Carlotta Chocolat,Colombia,2016,Colombia,Tumaco,65,3,4
1888,Carlotta Chocolat,Colombia,2016,Colombia,Huila,65,3,4
1888,Carlotta Chocolat,Colombia,2016,Colombia,"Cesar, CCN51",65,3,4
1884,Carlotta Chocolat,Colombia,2016,Colombia,Arauca,65,3,4
955,Mita,Colombia,2012,Colombia,Tumaco,65,5,4
224,Pacari,Ecuador,2008,Ecuador,Manabi,65,4,4
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Arriba,80,4,4
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Manabi,80,2,4
1418,To'ak (Ecuatoriana),Ecuador,2014,Ecuador,Manabi,81,2,4
1418,Bonnat,France,2014,Blend,"Surfin, Venez,Africa,Brasil,Peru,Mex",65,3,4
1716,Cacao Barry,France,2016,Haiti,Grand 'Anse,65,5,4
1215,Alain Ducasse,France,2014,Trinidad,Trinite,65,6,4
129,Valrhona,France,2007,Venezuela,Chuao 2002 P.,65,5,4
1209,Erithaj (A. Morin),France,2014,Vietnam,Ham Luong,80,3,4
423,Kaoka (Cemoi),France,2009,Ecuador,Ecuador,80,1,4
387,Kakao,Germany,2009,Vanuatu,Vanuatu,65,4,4
1169,Coppeneur,Germany,2013,Ecuador,"Ecuador, Puristique",65,4,4
1642,Georgia Ramon,Germany,2015,Madagascar,Akesson Estate,65,4,4
1646,Georgia Ramon,Germany,2015,Dominican Republic,Conacado Coop,80,4,4
1327,Urzi,Italy,2014,Venezuela,"Sur del Lago, Merida",65,4,4
725,Silvio Bessone,Italy,2011,Sao Tome,"Trintade, Sao Tome",65,4,4
1988,Pura Delizia,Italy,2017,Dominican Republic,Dominican,65,4,4
809,C-Amaro,Italy,2012,Venezuela,Venezuela,80,2,4
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar,80,4,4
837,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,80,4,4
1121,Malagos,Philippines,2013,Philippines,"Davao, Mt. Talamo foothills",65,5,4
565,Enric Rovira (Claudio Corallo),Spain,2010,Blend,"Terreiro Velho P., Sao Tome & Principe",80,4,4
1442,Original Beans (Felchlin),Switzerland,2014,Blend,"Grand Cru Blend No.1, 5 yr. Anniversary Ed",80,2,4
2198,Love Brown,Taiwan,2018,Nicaragua,O'Payo,80,2,4
1482,Chocolarder,U.K.,2015,Peru,"Peru + nibs, batch C6",65,2,4
1482,Chocolarder,U.K.,2015,Peru,"Peru, batch C7",65,2,4
623,Hotel Chocolat (Coppeneur),U.K.,2011,St. Lucia,"Island Growers, 96hr c.",65,4,4
623,Hotel Chocolat (Coppeneur),U.K.,2011,St. Lucia,"Island Growers, 120hr c.",65,4,4
296,Hotel Chocolat (Coppeneur),U.K.,2008,Uganda,Uganda,80,4,4
1688,Pump Street Bakery,U.K.,2015,Honduras,Honduras,80,3,4
2386,Hotel Chocolat,U.K.,2019,Tanzania,Kilombero Valley,80,4,4
2100,Duffy's,U.K.,2018,Guatemala,Mayan Red,80,4,4
623,Hotel Chocolat (Coppeneur),U.K.,2011,Ecuador,"Los Rios, H. Iara, 96hr c.",80,4,4
2096,Dormouse,U.K.,2018,Peru,"Piura, batch 274",80,2,4
363,Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,80,3,4
1038,Hotel Chocolat (Coppeneur),U.K.,2013,Vietnam,Mekong Delta & Dong Nai,80,4,4
1518,Brazen,U.S.A.,2015,Madagascar,Ambolikapkly P.,60,3,4
1740,Two Ravens,U.S.A.,2016,Peru,Peru,60,3,4
1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,60,3,4
1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",60,4,4
1251,Kiskadee,U.S.A.,2014,Dominican Republic,"La Red, Guanconjeco",60,2,4
1764,Chocolate Con Amor,U.S.A.,2016,Dominican Republic,Dominican Republic,60,2,4
1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",60,4,4
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,Ghana,60,4,4
1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,60,3,4
1514,Brazen,U.S.A.,2015,Dominican Republic,Elvesia P.,60,3,4
1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,60,3,4
1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",60,4,4
1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,60,3,4
1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,60,3,4
316,Original Hawaiin Chocolate Factory,U.S.A.,2009,U.S.A.,"Hawai'i Island, Kona Grand Cru E.",60,5,4
1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,60,3,4
1323,Burnt Fork Bend,U.S.A.,2014,Ecuador,"Ecuador, Bob Bar",60,3,4
387,TCHO,U.S.A.,2009,Blend,TCHOPro 60.5,60,5,4
1582,Zak's,U.S.A.,2015,Blend,"House Blend, Batch 2",60,3,4
654,Guittard,U.S.A.,2011,Blend,Lever du Soleil,61,5,4
445,Chuao Chocolatier,U.S.A.,2009,Venezuela,Choroni,61,5,4
1506,Pitch Dark,U.S.A.,2015,Nicaragua,Tenor,62,3,4
1474,Map Chocolate,U.S.A.,2015,Peru,"Maranon, 2014",62,3,4
672,Ethel's Artisan (Mars),U.S.A.,2011,Blend,"Venezuela, Trinidad",62,4,4
1716,TCHO,U.S.A.,2016,Blend,West Africa,62,5,4
135,Scharffen Berger,U.S.A.,2007,Blend,Nibby,62,5,4
666,Ethel's Artisan (Mars),U.S.A.,2011,Blend,Red Vanilla,62,4,4
2542,Brasstown,U.S.A.,2021,Tanzania,Kokoa Kamili,62,3,4
2080,Chocolibrium,U.S.A.,2018,India,Anamalai,63,3,4
1430,Maverick,U.S.A.,2014,Peru,"Morropon, Norandiono Coop, Piura",63,3,4
175,Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,Costa Rica,64,4,4
180,Dean and Deluca (Belcolade),U.S.A.,2007,Peru,Peru,64,4,4
276,Guittard,U.S.A.,2008,Blend,Special Maker Reserve,64,5,4
431,L.A. Burdick (Felchlin),U.S.A.,2009,Madagascar,Madagascar,64,5,4
180,Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,Papua New Guinea,64,4,4
1772,Pinellas,U.S.A.,2016,Honduras,Wampusirpi Region,80,4,4
2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,80,2,4
1514,Brazen,U.S.A.,2015,Dominican Republic,Elvesia P.,80,3,4
1518,Brazen,U.S.A.,2015,Madagascar,Ambolikapiky P.,80,3,4
2104,Johnny Iuzzini,U.S.A.,2018,Trinidad,"Tabaquite, batch 12",80,4,4
1510,Pitch Dark,U.S.A.,2015,Nicaragua,Rugoso,80,2,4
1275,Ethereal,U.S.A.,2014,Dominican Republic,Dominican Republic,80,3,4
2258,Dick Taylor,U.S.A.,2018,Fiji,"Vanua Levu, Matasawalevu",80,2,4
1506,Pitch Dark,U.S.A.,2015,Nicaragua,Johe,80,2,4
971,Tejas,U.S.A.,2012,Venezuela,Concepcion*,80,4,4
793,Spagnvola,U.S.A.,2012,Dominican Republic,AgroCriso Plantation,80,4,4
2350,ENNA,U.S.A.,2019,Tanzania,Kokoa Kamili,80,3,4
1562,Ranger,U.S.A.,2015,Peru,"Chulucanas, Batch 1",80,2,4
1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",80,4,4
1764,Chocolate Con Amor,U.S.A.,2016,Venezuela,Ocumare,80,2,4
1900,Mutari,U.S.A.,2016,Vietnam,"Tien Giang, batch 1 SRB",80,2,4
2634,sweet beans,U.S.A.,2021,Trinidad,Trinidad,80,3,4
241,DeVries,U.S.A.,2008,Bolivia,Bolivian,80,2,4
1784,Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",80,3,4
1980,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,80,2,4
1510,Pitch Dark,U.S.A.,2015,Nicaragua,Chuno,80,3,4
1510,Pitch Dark,U.S.A.,2015,Nicaragua,Nicalizo,80,3,4
1209,French Broad,U.S.A.,2014,Costa Rica,San Andres,80,2,4
1275,Ethereal,U.S.A.,2014,Belize,Belize,80,3,4
1518,Brazen,U.S.A.,2015,Belize,Maya Mountain,80,3,4
2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80,3,4
1283,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,80,3,4
2358,Eclat (Fruition),U.S.A.,2019,Peru,"NOE, nacional/criollo, batch 1",80,2,4
1768,Chocolate Con Amor,U.S.A.,2016,Nicaragua,Nicaragua,80,2,4
2142,Ethereal,U.S.A.,2018,Guatemala,Guatemala,80,3,4
1209,Rogue,U.S.A.,2014,Venezuela,Porcelana,80,2,4
2418,Ritual,U.S.A.,2019,Trinidad,"Jagassar Estate, Moruga Region, microlot",80,2,4
661,Dick Taylor,U.S.A.,2011,Madagascar,Sambirano,80,2,4
370,Fresco,U.S.A.,2009,Jamaica,"Jamaica, #204, DR, SC",80,3,4
1784,L'Amourette,U.S.A.,2016,Nicaragua,Rugoso,80,2,4
1275,Ethereal,U.S.A.,2014,Ecuador,Ecuador,80,3,4
1772,Chocolate Alchemist-Philly,U.S.A.,2016,Blend,"Philly Blend, 5 plantations",80,2,4
1117,Middlebury,U.S.A.,2013,Belize,Belize,80,4,4
1462,Muchomas (Mesocacao),U.S.A.,2015,Nicaragua,Nicaragua,80,3,4
1490,Middlebury,U.S.A.,2015,Belize,Maya Mountain,80,3,4
713,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Light Roast",81,2,4
423,Escazu,U.S.A.,2009,Venezuela,Carenero Superior,81,4,4
887,French Broad,U.S.A.,2012,Peru,"Palo Blanco w/ panela, Chulucanas, b. 120725A",81,2,4
572,Mast Brothers,U.S.A.,2010,Venezuela,Patanemo,81,2,4
895,Marou,Vietnam,2012,Vietnam,Tien Giang,80,3,4
2112,Soeka,Amsterdam,2018,Sulawesi,Sulawesi,66,3,4.25
701,Zokoko,Australia,2011,Papua New Guinea,Tokiala,66,4,4.25
1716,Zokoko,Australia,2016,Solomon Islands,Guadalcanal,78,4,4.25
1880,Zart Pralinen,Austria,2016,Trinidad,"San Juan Estate, Gran Couva",78,2,4.25
